recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_4,07/10/23,15:03:23,71.65416439055582,55.41306702075864,1000.232259943067,63.2857,10988.37762522939,1222.480260102183,624.1525910605538,21.43902778740369,11.0,13.0,13.0
recording_4,07/10/23,15:03:25,87.5130389255239,55.27940317271651,1000.2329652970677,67.6707,731.7101249064641,201673.20261437917,2116.6342355091692,29.27755841311257,12.0,15.0,15.0
recording_4,07/10/23,15:03:26,87.54091780900613,55.19613221283489,1000.228175242147,105.53535,757.8462424416931,280612.02185792354,3980.5258033106134,10.784552149217811,13.0,15.0,15.0
recording_4,07/10/23,15:03:28,87.56367608487905,55.1910028734329,1000.2336351939714,221.44415,790.5502736963412,332490.3429247144,5400.448542237727,12.96464775830597,13.0,16.0,16.0
recording_4,07/10/23,15:03:30,87.58927914914975,55.275227885917005,1000.2275453841257,181.4453,826.5682656826568,377993.83531483955,6665.310274669379,22.512522502151977,14.0,17.0,20.0
recording_4,07/10/23,15:03:31,87.61203743198028,55.36500978648395,1000.2332506908501,169.17925,852.7918781725889,411774.0863787377,7710.407239819005,30.016014996552617,14.0,16.0,19.0
recording_4,07/10/23,15:03:33,87.63195093214287,55.44365308167807,1000.2304944797265,171.9644,875.7574008886838,440273.9174219538,8714.379514116876,18.584760126467337,13.0,16.0,18.0
recording_4,07/10/23,15:03:35,87.65584713564694,55.522255448999765,1000.2256785993196,180.4975,895.4569070022515,463283.456269758,9614.805938352974,16.65468176751532,13.0,15.0,17.0
recording_4,07/10/23,15:03:37,87.67632959866636,55.51151590923927,1000.23125898808,187.4899,911.8835893290218,480819.1721132902,10504.723346828612,14.706754960841907,12.0,15.0,17.0
recording_4,07/10/23,15:03:38,87.70022580887431,55.46729689500265,1000.2388977985819,184.52695,928.3197597181309,494614.52513966506,11322.404371584702,14.114138845518776,11.0,14.0,15.0
recording_4,07/10/23,15:03:40,87.72298410766649,55.395094903805514,1000.2494803700573,199.63765,941.4755329597319,505595.44159544155,12099.219235818422,10.842264487869686,11.0,14.0,15.0
recording_4,07/10/23,15:03:42,87.74346657937886,55.389894692005036,1000.2479974943509,209.9486,951.3463538657113,515362.31884058,12831.622319994414,22.991847643462673,10.0,13.0,14.0
recording_4,07/10/23,15:03:43,87.76679384205929,55.46291985166253,1000.2481817801985,218.0077,964.5127730898163,523764.70588235353,13560.307714023573,16.80459111749516,9.0,13.0,15.0
recording_4,07/10/23,15:03:45,87.78613840396432,55.463189875755226,1000.2443716407406,230.4643,971.0982658959538,531016.0810005957,14229.442781815591,29.60036919512403,9.0,12.0,14.0
recording_4,07/10/23,15:03:47,87.8026381792233,55.5584925685071,1000.240952113901,224.231,984.2738205365403,539169.0821256043,14967.741935483871,24.6650210898048,8.0,11.0,11.0
recording_4,07/10/23,15:03:48,87.81686212479335,55.72648794389004,1000.2467768709336,221.35395,994.1594864974268,543513.3819951344,15591.486888937316,14.237046380176478,7.0,11.0,11.0
recording_4,07/10/23,15:03:50,87.82937919795296,56.07865505979167,1000.2416691736444,214.51165,1000.7518362153722,551644.8828606659,16263.362416599457,28.585202688959836,7.0,12.0,12.0
recording_4,07/10/23,15:03:52,87.83222398744554,56.21831272964377,1000.2478258490695,240.128,1010.6432207311431,557698.6301369865,16947.96832210791,24.558430522673643,8.0,14.0,14.0
recording_4,07/10/23,15:03:54,87.82767232428196,56.25174164744996,1000.2470440260217,223.06915,1017.2393844729839,564654.9118387914,17689.719626168226,18.945944324740395,8.0,14.0,14.0
recording_4,07/10/23,15:03:55,87.82425857699522,56.34105688804704,1000.2356167640087,239.2799,1027.136492507088,568192.5269157701,18345.628724447462,24.18051510375122,8.0,14.0,16.0
recording_4,07/10/23,15:03:57,87.82312066124933,56.357850252651176,1000.242164303166,228.2699,1033.7364735837048,568588.086185045,18967.67323343729,25.92188975823539,8.0,15.0,16.0
recording_4,07/10/23,15:03:59,87.82937919795296,56.33558453267185,1000.2374279225817,220.6734,1043.6393101053363,572571.4285714285,19524.90421455939,22.48244514711352,8.0,15.0,16.0
recording_4,07/10/23,15:04:00,87.82312066124933,56.14550528384261,1000.2345873990753,220.6146,1050.2431118314425,579870.9677419356,20284.82972136223,24.30021231551242,8.0,15.0,16.0
recording_4,07/10/23,15:04:02,87.82084482978215,55.69300724154539,1000.2354929819834,177.65275,1060.1516818155503,577012.2029543995,20915.873263617923,27.039542298541605,9.0,16.0,17.0
recording_4,07/10/23,15:04:04,87.83620669282111,55.8386209915856,1000.2431088920464,148.97115,1066.7593075096984,577012.2029543995,21435.575109993715,25.6775589452014,9.0,16.0,17.0
recording_4,07/10/23,15:04:05,87.85043064140955,55.972904167819294,1000.255194224252,209.059,1073.3684637211188,579051.5463917528,21882.259976293957,28.219196557019945,10.0,17.0,18.0
recording_4,07/10/23,15:04:07,87.85213751532612,56.224250431031415,1000.2587775831418,167.28135,1076.6736159369934,578642.6271732133,22396.436525612477,20.278830634411094,10.0,16.0,17.0
recording_4,07/10/23,15:04:09,87.84417210387306,56.28003794345728,1000.2585104956174,171.31095,1083.2850689215802,581104.0723981903,22917.447353671232,22.927907110242113,10.0,16.0,17.0
recording_4,07/10/23,15:04:11,87.83506877698929,56.34689430346008,1000.2602825786364,165.6817,1089.8980537534756,587342.0365535252,23522.34952396321,18.932089674356124,10.0,16.0,17.0
recording_4,07/10/23,15:04:12,87.82824128217024,56.04507763795523,1000.2591097969878,161.5929,1096.5125709651259,586503.2594524124,24123.567189659378,22.490044218573967,10.0,17.0,18.0
