Group2,7/16/19 12:58,36857, (121,108, 118) ,41.95782882,99681.80417,163.97,0.135,2.35,0.633,0.48
Group2,7/16/19 12:59,65535, (210,182, 198) ,42.84180943,99694.14116,142.95,0.138,2.446,0.621,0.501
Group2,7/16/19 13:00,65535, (193,166, 180) ,44.05000381,99683.45529,161.78,0.141,2.521,0.705,0.48
Group2,7/16/19 12:56,0, (0,0, 0) ,40.2738289,99682.1958,252.75,0.183,2.569,0.672,0.549
Group2,7/16/19 12:57,14840, (160,135, 142) ,40.01828316,99679.22442,257.21,0.138,2.284,0.681,0.486
Group2,7/16/19 12:58,17449, (155,131, 137) ,40.04574103,99676.59072,256.3,0.138,2.473,0.66,0.492
Group2,7/16/19 12:59,17492, (152,129, 135) ,39.91874846,99671.70461,256.39,0.138,2.428,0.648,0.498
Group2,7/16/19 13:00,17736, (155,131, 137) ,40.40019795,99665.66784,256.79,0.141,2.455,0.726,0.474
Group2,7/16/19 13:01,18833, (150,128, 134) ,40.15588462,99661.70147,255.99,0.141,0.018,0.891,0.534
Group2,7/16/19 13:02,19798, (146,127, 132) ,40.00424221,99657.44496,257.01,0.138,2.395,0.654,0.486
Group2,7/16/19 13:03,20582, (147,126, 131) ,40.54185631,99667.95118,256.99,0.144,2.536,0.648,0.48
Group2,7/16/19 12:56,0, (0,0, 0) ,38.51997053,99441.11717,259.66,0.285,2.503,0.582,0.528
Group2,7/16/19 12:57,32355, (120,116, 122) ,37.74523899,99454.23695,198.21,0.135,2.425,0.669,0.492
Group2,7/16/19 12:58,7705, (106,104, 120) ,38.16645744,99433.75708,198.38,0.141,2.386,0.588,0.501
Group2,7/16/19 12:59,16823, (145,129, 137) ,37.99172954,99451.51767,198.05,0.138,2.509,0.669,0.483
Group2,7/16/19 13:00,23137, (133,123, 129) ,38.58674192,99449.53672,200.34,0.15,2.458,0.651,0.501
Group2,7/16/19 13:01,15770, (148,131, 139) ,38.70593211,99440.37423,200.31,0.138,2.41,0.672,0.486
Group2,7/16/19 13:02,17284, (144,129, 136) ,38.79392078,99434.10537,199.07,0.135,2.323,0.735,0.528
Group2,7/16/19 12:56,0, (0,0, 0) ,24.26110308,99079.60312,284.62,0.576,3.374,0.651,1.008
Group3,7/16/19 12:23,2219, (99,90, 54) ,30.69430918,98945.31576,300.33,0.09,2.449,2.917,0.444
Group3,7/16/19 12:24,1220, (112,84, 50) ,31.27114457,98945.94435,303.16,0.102,2.476,2.917,0.513
Group3,7/16/19 12:25,1279, (111,85, 51) ,31.80097059,98941.56065,305.62,0.099,2.485,2.917,0.48
Group3,7/16/19 12:26,1263, (110,85, 51) ,32.08397885,98936.94609,306.16,0.096,2.302,2.917,0.525
Group3,7/16/19 12:27,1280, (110,85, 51) ,32.29894204,98936.58061,305.93,0.096,2.449,2.92,0.435
Group3,7/16/19 12:28,1191, (111,85, 50) ,32.474006,98928.4684,305.71,0.096,2.605,2.92,0.435
Group3,7/16/19 12:29,1277, (110,85, 51) ,32.64226569,98929.3054,306.05,0.096,2.518,2.92,0.438
Group3,7/16/19 12:30,1278, (110,85, 51) ,32.77248161,98933.02022,306.54,0.096,2.497,2.92,0.414
Group3,7/16/19 12:31,1276, (110,85, 50) ,32.91259539,98931.25064,305.87,0.096,2.617,2.92,0.411
Group3,7/16/19 12:32,1255, (110,85, 51) ,33.03817218,98935.68854,306.27,0.096,2.497,2.92,0.447
Group3,7/16/19 12:33,1256, (111,85, 50) ,33.14859331,98937.15147,307.19,0.096,2.512,2.92,0.417
Group3,7/16/19 12:28,0, (0,0, 0) ,34.06568193,99834.53339,233.15,0.087,2.518,2.962,0.525
Group3,7/16/19 12:29,29470, (139,126, 128) ,34.97721297,99835.81144,214.81,0.081,2.647,2.965,0.435
Group3,7/16/19 12:30,27781, (139,127, 128) ,35.97783612,99823.75223,214.95,0.081,2.278,2.965,0.432
Group3,7/16/19 12:31,26285, (141,129, 131) ,36.84763011,99822.52797,226.89,0.081,2.485,2.965,0.432
Group3,7/16/19 12:32,28989, (138,125, 127) ,37.51946861,99826.96185,227.18,0.081,2.236,2.968,0.426
Group3,7/16/19 12:28,0, (0,0, 0) ,37.77001749,99800.6333,213.76,0.075,1.129,2.977,0.474
Group3,7/16/19 12:29,24947, (135,125, 128) ,37.98313928,99796.70791,199.32,0.075,2.299,2.971,0.429
Group3,7/16/19 12:30,32574, (129,117, 119) ,38.07129577,99785.9671,199.91,0.078,2.47,2.965,0.429
Group3,7/16/19 12:28,0, (0,0, 0) ,40.7237666,99727.69354,283.55,0.075,2.776,2.983,0.504
Group3,7/16/19 12:29,62189, (112,97, 98) ,41.1871456,99722.01596,284.6,0.075,2.98,2.98,0.429
Group3,7/16/19 12:30,51385, (107,96, 99) ,41.35573205,99727.74031,283.82,0.075,2.545,2.977,0.42
Group3,7/16/19 12:31,65535, (150,127, 127) ,41.91655508,99725.5543,284.99,0.078,2.539,2.983,0.417
