recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_6,07/25/22,17:54:09,66.01854464605567,39.886095153484284,999.2854517071069,126.1582,11683.010575470405,3495.35192563081,1305.6573056573059,19.2287186861472,3.0,3.0,3.0
recording_6,07/25/22,17:54:11,91.9699568863174,39.80975041885799,999.284440513439,126.27665,803.6424413578469,249139.31888544897,3762.3089983022073,25.43753249582217,3.0,4.0,4.0
recording_6,07/25/22,17:54:13,92.01057626556438,39.780318549098055,999.3012287105629,125.1507,820.0161420500405,382044.44444444444,8095.727385055602,29.537993821925586,3.0,4.0,4.0
recording_6,07/25/22,17:54:14,92.06338147357609,39.75673049331437,999.3049324236678,125.44695,852.7918781725889,466587.4867444331,11841.409691629955,24.99967378267527,3.0,4.0,8.0
recording_6,07/25/22,17:54:16,92.1353358502327,39.72135847344211,999.2932732147111,123.8469,892.1727083814362,523423.86831275775,15487.633277725394,25.578214339211073,3.0,5.0,8.0
recording_6,07/25/22,17:54:18,92.17943693534879,39.62157113920688,999.2872983414926,122.36555,925.0317662007624,562706.8424356565,18525.51984877127,19.709762033327493,3.0,5.0,7.0
recording_6,07/25/22,17:54:19,92.18698054319721,39.4456758152118,999.2981081413947,117.62495,954.6373880381393,595851.8518518526,21539.139328140984,16.218091815966634,3.0,5.0,7.0
recording_6,07/25/22,17:54:21,92.15680611387856,39.45163550158018,999.2977674916345,126.395,977.6852815354376,618145.0068399459,23993.507020534053,21.80521936337959,3.0,5.0,6.0
recording_6,07/25/22,17:54:23,92.10226004415236,39.445939301490085,999.3073794368813,118.6327,1000.7518362153722,635164.0953716692,26387.36102984202,25.014971780062137,3.0,4.0,6.0
recording_6,07/25/22,17:54:24,92.08195034195909,39.46942373243598,999.3150582001647,134.9288,1020.5380387619324,646494.6543121887,28304.16559746814,22.164472543762823,3.0,5.0,6.0
recording_6,07/25/22,17:54:26,92.08020951045918,39.63945538056389,999.3085165891019,129.9506,1033.7364735837048,653064.7482014397,30010.995723885157,12.780792825746438,3.0,5.0,6.0
recording_6,07/25/22,17:54:28,92.0912347769364,39.66874129537621,999.3073228522894,133.8024,1050.2431118314425,661321.6885007279,31655.638562789045,27.1969329029248,3.0,4.0,6.0
recording_6,07/25/22,17:54:30,92.10864309393085,39.75663157487021,999.3049348431906,132.795,1060.1516818155503,668173.4019103603,33170.36098796707,23.35384968152111,3.0,4.0,6.0
recording_6,07/25/22,17:54:31,92.14578084300777,39.74480211481031,999.3096004201464,131.13565,1070.063694267516,672455.284552846,34529.98989620648,19.611120466268193,3.0,4.0,4.0
recording_6,07/25/22,17:54:33,92.17943693534879,39.62742700604376,999.3189865288575,130.95785,1086.591369823342,683939.9399399408,36353.82308845577,18.72452316432979,3.0,4.0,4.0
recording_6,07/25/22,17:54:35,92.20438887032114,39.22277626172913,999.3200105227668,121.4174,1096.5125709651259,696366.4122137405,38270.68388330942,17.7253423218165,3.0,4.0,4.0
recording_6,07/25/22,17:54:36,92.12431058080053,39.00034410149557,999.3162516526369,113.83235,1109.746204658709,698670.7503828485,40053.01627521684,22.304227673838266,3.0,5.0,5.0
recording_6,07/25/22,17:54:38,91.92817696383864,39.0009867535048,999.3158696229981,115.96565,1122.9859742668366,695219.512195122,41113.01606069564,17.99391542401339,3.0,5.0,5.0
recording_6,07/25/22,17:54:40,91.81676388909169,39.05997427099604,999.3125861022655,117.9804,1132.91983073445,694647.3724295506,42235.821788099274,17.586409184957663,3.0,5.0,5.0
recording_6,07/25/22,17:54:41,91.72740137324094,39.18924763889498,999.2979789775973,116.2619,1142.857142857143,692367.5018982536,42985.63824445114,16.458926743825902,3.0,5.0,6.0
recording_6,07/25/22,17:54:43,91.64268111082116,39.33600911135012,999.2797363632745,118.0989,1146.1703484664,691232.7520849139,43706.62620131513,14.406669009555294,3.0,5.0,6.0
recording_6,07/25/22,17:54:45,91.58523383440857,39.41821291263236,999.2773121919982,117.0323,1156.1122709348178,691799.6965098634,44643.3166547534,17.207987301588172,3.0,5.0,6.0
recording_6,07/25/22,17:54:47,91.52604575241531,39.62345420207812,999.2793187578093,102.8695,1162.742141282914,690666.6666666678,45597.77342542006,22.985149159750534,3.0,5.0,6.0
recording_6,07/25/22,17:54:48,91.50051364518721,39.65867100338205,999.2775379576108,107.7287,1169.3735498839908,691799.6965098634,46474.526928675405,18.501615169405756,3.0,6.0,8.0
recording_6,07/25/22,17:54:50,91.4755618169511,39.68218175005667,999.2675080762896,108.73605,1176.0064972734658,695219.512195122,47594.70254361993,21.578691409183232,3.0,6.0,8.0
recording_6,07/25/22,17:54:52,91.43668339444966,39.72916734518037,999.2704259091482,107.9064,1182.6409839870041,696366.4122137405,48728.509191371806,21.783047325263084,3.0,6.0,8.0
recording_6,07/25/22,17:54:53,91.37343344314317,39.688328079937094,999.2632024144767,135.6393,1189.27701056052,696941.1764705883,49762.420860607366,18.678140716440137,3.0,6.0,8.0
recording_6,07/25/22,17:54:55,91.3304931230846,39.84072217830272,999.2605512862593,135.40225,1195.9145775301765,695792.5247902365,50712.862711130365,12.655376785682593,3.0,6.0,8.0
recording_6,07/25/22,17:54:57,91.3038004973448,39.893490882848155,999.2561517496455,133.26895,1199.2339388311764,691232.7520849139,51235.338918507245,15.599280486376808,3.0,6.0,8.0
recording_6,07/25/22,17:54:58,91.29161473485973,39.92865342047523,999.2580759952625,131.669,1205.8738174008938,691232.7520849139,51821.901323706385,19.149310897323787,3.0,6.0,8.0
