recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_1,09/12/22,21:21:26,72.64755270282853,54.49975083427485,1000.2232392405567,154.18715,24463.711323373336,1325.655790147153,892.1727083814362,0.0,10.0,16.0,32.0
recording_1,09/12/22,21:21:28,88.97455086218433,54.516637336580494,1000.2148418281744,153.17995,984.2738205365403,195749.680715198,2399.0045624222316,0.0,9.0,17.0,25.0
recording_1,09/12/22,21:21:30,88.92508289932415,54.569245350093695,1000.2059643519204,929.95315,1007.3457111458154,268210.52631578955,4835.750879575336,0.0,7.0,15.0,20.0
recording_1,09/12/22,21:21:31,88.90006462515456,54.60433689930985,1000.2085971077186,285.27285,1063.455303381195,314247.9338842976,6989.710487633412,0.0,9.0,15.0,21.0
recording_1,09/12/22,21:21:33,88.88869268365987,54.65749460455362,1000.2076761860689,572.5084,1122.9859742668366,357076.2782900254,9163.636363636364,0.0,8.0,15.0,20.0
recording_1,09/12/22,21:21:35,88.8926728630899,54.805259088968846,1000.2108994126561,661.14175,1176.0064972734658,395282.0512820513,11043.058295354058,0.0,8.0,14.0,18.0
recording_1,09/12/22,21:21:37,88.90063322225078,54.87631247476969,1000.2174975703015,177.59385,1225.8027056842595,434348.2587064681,12884.54011741683,0.0,9.0,15.0,19.0
recording_1,09/12/22,21:21:38,88.91484815032138,55.3905329413,1000.2240902633084,195.96385,1262.375087148501,462191.3774973715,14319.634703196349,0.0,9.0,16.0,19.0
recording_1,09/12/22,21:21:40,88.93759203789462,55.65660737855279,1000.2200811531188,186.00845,1298.9942445206675,491859.92217898846,15857.684456109655,0.0,9.0,16.0,19.0
recording_1,09/12/22,21:21:42,88.94384660755125,55.26092362275433,1000.2183852968229,183.81585,1332.3250538072248,515031.2862108925,17316.96793870416,0.0,8.0,16.0,18.0
recording_1,09/12/22,21:21:43,88.95692434490618,55.131221852516184,1000.223747619208,163.19405,1369.0337601862632,531716.1598091832,18819.706976391102,0.0,8.0,17.0,18.0
recording_1,09/12/22,21:21:45,88.97284507010373,55.03108644498552,1000.2360222834386,370.7344,1399.103139013453,546813.455657493,20149.26987560844,0.0,8.0,18.0,19.0
recording_1,09/12/22,21:21:47,88.98649140726425,54.765334241138845,1000.2243359631882,1067.58765,1429.2040554713903,558463.8403990028,21539.139328140984,0.0,9.0,20.0,20.0
recording_1,09/12/22,21:21:48,88.9972947583523,54.759607496239525,1000.2323148589859,1321.333,1455.9869418211497,563484.6008799502,22596.491228070176,0.0,10.0,20.0,20.0
recording_1,09/12/22,21:21:50,89.0052551227846,55.238274416323506,1000.2381490940156,859.0803,1476.090506181479,572170.8094327605,23754.0055025085,0.0,10.0,21.0,21.0
recording_1,09/12/22,21:21:52,89.00923530515117,55.35655216660347,1000.2323026264713,100.7361,1496.2081437405204,574985.9154929578,24608.4894086857,0.0,10.0,21.0,21.0
recording_1,09/12/22,21:21:54,89.03311640145624,55.23884135426971,1000.2282786983872,1019.7502,1516.3398692810458,584415.8544509425,25629.948649991722,0.0,9.0,20.0,22.0
recording_1,09/12/22,21:21:55,89.06268347807338,55.079818761203335,1000.2308572015359,1191.26095,1539.844707805476,593275.3623188413,26740.09402283412,0.0,9.0,20.0,23.0
recording_1,09/12/22,21:21:57,89.1110142883048,54.76740606073588,1000.234643613913,1048.66715,1560.0070081177364,598883.7209302324,27880.85106382979,0.0,9.0,20.0,23.0
recording_1,09/12/22,21:21:59,89.15024754512969,54.43110561045246,1000.2372116965529,1097.05795,1580.183443360402,604589.8123324398,29002.156101768007,0.0,9.0,19.0,22.0
recording_1,09/12/22,21:22:00,89.18095183987556,54.271905512391314,1000.2368724574922,1029.30175,1600.374028402782,609047.2334682863,30086.121058607743,0.0,9.0,18.0,21.0
recording_1,09/12/22,21:22:02,89.20881314953121,54.11270379841947,1000.22561873512,1243.7648,1617.210335554776,614020.3942895994,31090.218255721487,0.0,9.0,18.0,21.0
recording_1,09/12/22,21:22:04,89.23553726749095,53.97117925703365,1000.2238962722674,1287.01185,1637.4269005847955,616305.5934515694,32110.13767209012,0.0,9.0,18.0,21.0
recording_1,09/12/22,21:22:05,89.25998699639257,53.97160049357385,1000.2224742955684,895.0805,1650.9124941506786,622787.8787878796,33073.6556710348,0.0,10.0,16.0,20.0
recording_1,09/12/22,21:22:07,89.28557392603908,53.85954702688568,1000.2233698117506,1085.54975,1667.7783628810487,621388.3161512035,34017.353182939085,0.0,10.0,16.0,20.0
recording_1,09/12/22,21:22:09,89.30718066985658,53.865740418360495,1000.2242648491324,962.04375,1684.6541027742012,627495.1456310679,34863.83331796811,0.0,10.0,16.0,20.0
recording_1,09/12/22,21:22:11,89.3020632828959,54.03114552094186,1000.2328862722593,862.9176,1698.161807750849,629873.3472512178,35717.8485017681,0.0,10.0,17.0,21.0
recording_1,09/12/22,21:22:12,89.28386813060038,54.32648252738591,1000.2367532821331,950.64585,1708.2967386849348,628920.0833912439,36336.51864343264,0.0,10.0,17.0,21.0
recording_1,09/12/22,21:22:14,89.2707903661823,54.41497178328298,1000.2350791370101,123.60945,1721.8155197657395,633713.0860741779,37174.513140480245,0.0,10.0,17.0,21.0
recording_1,09/12/22,21:22:16,89.25998699639257,54.538914518250344,1000.2464698501542,117.03185,1735.3406361665986,639553.9872971069,38045.80152671756,0.0,8.0,16.0,20.0
