recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_8,07/10/23,15:41:37,78.09435492625576,53.598748765140705,1000.2930371681138,67.31495,18519.885074852566,3124.175164967007,2852.3317609124024,15.898746447597325,10.0,16.0,32.0
recording_8,07/10/23,15:41:39,93.81305049503928,54.08347517284086,1000.2981908049154,241.40935,1405.7895043392161,237333.33333333337,5519.255976530804,19.3631268457754,13.0,19.0,30.0
recording_8,07/10/23,15:41:41,93.83189193694987,52.507886626817424,1000.3046433360802,452.8403,1472.7389352148814,370113.2728058798,11409.889884412829,32.21306759214263,12.0,18.0,29.0
recording_8,07/10/23,15:41:42,93.83017907850227,51.637845844339026,1000.3136671748942,475.41665,1556.6456435412288,447628.0020439452,16636.15594369519,21.22542467598467,11.0,19.0,27.0
recording_8,07/10/23,15:41:44,93.8181890698848,50.80837699237944,1000.3160964606111,404.89975,1644.168908644286,507522.0125786164,21925.363693864645,22.047884055572336,11.0,19.0,26.0
recording_8,07/10/23,15:41:46,93.78336095473293,49.7973912736862,1000.3148534131574,422.2622,1721.8155197657395,539888.7545344624,26649.895178197065,24.581845632103548,10.0,19.0,25.0
recording_8,07/10/23,15:41:48,93.7399685596233,49.61004523691799,1000.3379229964187,401.8183,1786.1163227016887,558847.1615720527,31136.415878348518,30.216607181220244,10.0,19.0,25.0
recording_8,07/10/23,15:41:49,93.70228569977526,49.925145328153235,1000.3468697811278,430.85465,1830.194214633574,577012.2029543995,34863.83331796811,23.494638324959908,10.0,18.0,25.0
recording_8,07/10/23,15:41:51,93.6725961801126,50.135156991800834,1000.3466388237352,244.90475,1870.9412248253186,591568.9881734566,38687.289845326166,22.64580426764724,10.0,19.0,27.0
recording_8,07/10/23,15:41:53,93.63491333620165,50.041333111445,1000.3447383866937,388.66345,1908.3431257344303,599755.1563539586,42206.45675567956,21.394641599911427,10.0,20.0,27.0
recording_8,07/10/23,15:41:54,93.61493001350217,50.093792132773665,1000.3317322824365,418.70725,1942.3868312757204,606365.5913978496,45692.117210070166,16.17677516152218,10.0,19.0,24.0
